Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Aderholt,20022132,DC,"Tesla, Inc. ",TSLA,S,12/05/2022,12/05/2022,"$1,001 - $15,000",New,
Allen,20020448,SP,Putnam ultra Short Duration,NaN,S,01/25/2022,01/28/2022,"$50,001 - $100,000",New,Subholding of: Charles Schwab IRA
Allen,20020448,SP,Starbucks Corporation ,NaN,S,01/25/2022,01/28/2022,"$15,001 - $50,000",New,Subholding of: Charles Schwab IRA
Allen,20020585,SP,"Activision blizzard, Inc ",NaN,02/14/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: Charles Schwab IRA
Allen,20020448,SP,Walt Disney Company ,DIS,01/28/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: Charles Schwab IRA
Axne,20021951,SP,"PayPal Holdings, Inc. ",PYPL,S,11/09/2022,11/10/2022,"$1,001 - $15,000",New,Subholding of: Creation Agents LLC 401K
Axne,20021951,SP,"PayPal Holdings, Inc. ",PYPL,S,11/09/2022,11/10/2022,"$1,001 - $15,000",New,Subholding of: John Axne IRA
Axne,20021951,SP,Lockheed Martin Corporation ,LMT,S,11/03/2022,11/04/2022,"$1,001 - $15,000",New,Subholding of: Cindy Axne IRA
Axne,20021705,SP,Liberty Broadband Corporation,NaN,S,09/08/2022,09/09/2022,"$1,001 - $15,000",New,Subholding of: John Axne IRA
Axne,20021705,SP,Liberty Broadband Corporation,NaN,S,09/08/2022,09/09/2022,"$1,001 - $15,000",New,Subholding of: Creation Agents LLC 401K
Axne,20021555,SP,Liberty Broadband Corporation,NaN,S (partial),08/12/2022,08/13/2022,"$1,001 - $15,000",New,Subholding of: Creation Agents LLC 401K
Axne,20021236,SP,"BellRing Brands, Inc. ",NaN,S,06/15/2022,06/16/2022,"$1,001 - $15,000",New,Subholding of: Creation Agents LLC 401K
Axne,20021134,SP,KKR & Company Inc. 6% MCONV,NaN,P,05/25/2022,05/26/2022,"$1,001 - $15,000",New,Preferred stock - Maturity date 09/15/2023
Axne,20021134,SP,KKR & Company Inc. 6% MCONV,NaN,P,05/25/2022,05/26/2022,"$1,001 - $15,000",New,Preferred stock - Maturity date 09/15/2023
Axne,20021134,SP,JP Morgan Chase & Co. ,JPM,S,05/12/2022,05/13/2022,"$1,001 - $15,000",New,Subholding of: Creation Agents LLC 401K
Axne,20021134,SP,JP Morgan Chase & Co. ,JPM,S,05/12/2022,05/13/2022,"$1,001 - $15,000",New,Subholding of: John Axne IRA
Axne,20021134,SP,Danaher Corporation ,DHR,P,05/10/2022,05/11/2022,"$1,001 - $15,000",New,Subholding of: John Axne IRA
Axne,20021134,SP,Danaher Corporation ,DHR,P,05/10/2022,05/11/2022,"$1,001 - $15,000",New,Subholding of: Cindy Axne IRA
Axne,20021134,SP,Johnson & Johnson ,JNJ,S,05/04/2022,05/05/2022,"$1,001 - $15,000",New,Subholding of: John Axne IRA
Axne,20021134,SP,Johnson & Johnson ,JNJ,S,05/04/2022,05/05/2022,"$1,001 - $15,000",New,Subholding of: Cindy Axne IRA
Axne,20020474,SP,KKR & Company Inc. 6% MCONV P,NaN,02/16/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: Creation Agents LLC 401K
Axne,20020474,SP,KKR & Company Inc. 6% MCONV P,NaN,02/16/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: John Axne IRA
Axne,20020474,SP,Lockheed Martin Corporation S ,LMT,02/25/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: Creation Agents LLC 401K
Axne,20020474,SP,Lockheed Martin Corporation S ,LMT,02/11/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: Creation Agents LLC 401KID Owner Asset Transaction Date Notification Amount Cap.
Axne,20020474,SP,"PayPal Holdings, Inc. ",PYPL,03/01/2022,"$1,001",-,"$15,001 - $50,000",New,Subholding of: Cindy Axne IRA
